#separator:tab
#html:true
#deck:IELTS Topic Collocation::教育 Education
#columns:Front Back Topic TopicZh Type BaseChinese BaseEnglish HighlightChinese HighlightEnglish Tags CardId
<div style="font-size:24px;font-weight:700">资金充足的公立学校</div><div style="margin-top:8px;color:#666">教育 / Education · adjective</div>	<div style="font-size:22px;font-weight:700">well-funded public school</div><div style="margin-top:10px"><b>Base</b>: 公立学校 = public school / state school</div><div><b>Focus</b>: 资金充足的 = well-funded</div><div><b>Type</b>: adjective</div>	Education	教育	adjective	公立学校	public school / state school	资金充足的	well-funded	IELTS_Task2 topic_collocation topic::Education type::adjective	Education-001
<div style="font-size:24px;font-weight:700">就读于公立学校</div><div style="margin-top:8px;color:#666">教育 / Education · verb</div>	<div style="font-size:22px;font-weight:700">attend public school</div><div style="margin-top:10px"><b>Base</b>: 公立学校 = public school / state school</div><div><b>Focus</b>: 就读于 = attend</div><div><b>Type</b>: verb</div>	Education	教育	verb	公立学校	public school / state school	就读于	attend	IELTS_Task2 topic_collocation topic::Education type::verb	Education-002
<div style="font-size:24px;font-weight:700">有声望的私立学校</div><div style="margin-top:8px;color:#666">教育 / Education · adjective</div>	<div style="font-size:22px;font-weight:700">prestigious private school</div><div style="margin-top:10px"><b>Base</b>: 私立学校 = private / independent school</div><div><b>Focus</b>: 有声望的 = prestigious</div><div><b>Type</b>: adjective</div>	Education	教育	adjective	私立学校	private / independent school	有声望的	prestigious	IELTS_Task2 topic_collocation topic::Education type::adjective	Education-003
<div style="font-size:24px;font-weight:700">入读私立学校</div><div style="margin-top:8px;color:#666">教育 / Education · verb</div>	<div style="font-size:22px;font-weight:700">enrol in an independent school</div><div style="margin-top:10px"><b>Base</b>: 私立学校 = private / independent school</div><div><b>Focus</b>: 入读 = enrol in</div><div><b>Type</b>: verb</div>	Education	教育	verb	私立学校	private / independent school	入读	enrol in	IELTS_Task2 topic_collocation topic::Education type::verb	Education-004
<div style="font-size:24px;font-weight:700">精英的寄宿学校</div><div style="margin-top:8px;color:#666">教育 / Education · adjective</div>	<div style="font-size:22px;font-weight:700">elite boarding school</div><div style="margin-top:10px"><b>Base</b>: 寄宿学校 = boarding school</div><div><b>Focus</b>: 精英的 = elite</div><div><b>Type</b>: adjective</div>	Education	教育	adjective	寄宿学校	boarding school	精英的	elite	IELTS_Task2 topic_collocation topic::Education type::adjective	Education-005
<div style="font-size:24px;font-weight:700">送孩子去寄宿学校</div><div style="margin-top:8px;color:#666">教育 / Education · verb</div>	<div style="font-size:22px;font-weight:700">send children to boarding school</div><div style="margin-top:10px"><b>Base</b>: 寄宿学校 = boarding school</div><div><b>Focus</b>: 送孩子去 = send children to</div><div><b>Type</b>: verb</div>	Education	教育	verb	寄宿学校	boarding school	送孩子去	send children to	IELTS_Task2 topic_collocation topic::Education type::verb	Education-006
<div style="font-size:24px;font-weight:700">普及的义务教育</div><div style="margin-top:8px;color:#666">教育 / Education · adjective</div>	<div style="font-size:22px;font-weight:700">universal compulsory education</div><div style="margin-top:10px"><b>Base</b>: 义务教育 = compulsory education</div><div><b>Focus</b>: 普及的 = universal</div><div><b>Type</b>: adjective</div>	Education	教育	adjective	义务教育	compulsory education	普及的	universal	IELTS_Task2 topic_collocation topic::Education type::adjective	Education-007
<div style="font-size:24px;font-weight:700">提供义务教育</div><div style="margin-top:8px;color:#666">教育 / Education · verb</div>	<div style="font-size:22px;font-weight:700">provide compulsory education</div><div style="margin-top:10px"><b>Base</b>: 义务教育 = compulsory education</div><div><b>Focus</b>: 提供 = provide</div><div><b>Type</b>: verb</div>	Education	教育	verb	义务教育	compulsory education	提供	provide	IELTS_Task2 topic_collocation topic::Education type::verb	Education-008
<div style="font-size:24px;font-weight:700">可及的高等教育</div><div style="margin-top:8px;color:#666">教育 / Education · adjective</div>	<div style="font-size:22px;font-weight:700">accessible higher education</div><div style="margin-top:10px"><b>Base</b>: 高等教育 = higher education / tertiary education</div><div><b>Focus</b>: 可及的 = accessible</div><div><b>Type</b>: adjective</div>	Education	教育	adjective	高等教育	higher education / tertiary education	可及的	accessible	IELTS_Task2 topic_collocation topic::Education type::adjective	Education-009
<div style="font-size:24px;font-weight:700">接受高等教育</div><div style="margin-top:8px;color:#666">教育 / Education · verb</div>	<div style="font-size:22px;font-weight:700">pursue higher education</div><div style="margin-top:10px"><b>Base</b>: 高等教育 = higher education / tertiary education</div><div><b>Focus</b>: 接受 = pursue</div><div><b>Type</b>: verb</div>	Education	教育	verb	高等教育	higher education / tertiary education	接受	pursue	IELTS_Task2 topic_collocation topic::Education type::verb	Education-010
