#separator:tab
#html:true
#deck:IELTS Topic Collocation::环境 Environment
#columns:Front Back Topic TopicZh Type BaseChinese BaseEnglish HighlightChinese HighlightEnglish Tags CardId
<div style="font-size:24px;font-weight:700">加速的气候变化</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">accelerating climate change</div><div style="margin-top:10px"><b>Base</b>: 气候变化 = climate change</div><div><b>Focus</b>: 加速的 = accelerating</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	气候变化	climate change	加速的	accelerating	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-001
<div style="font-size:24px;font-weight:700">缓解气候变化</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">mitigate climate change</div><div style="margin-top:10px"><b>Base</b>: 气候变化 = climate change</div><div><b>Focus</b>: 缓解 = mitigate</div><div><b>Type</b>: verb</div>	Environment	环境	verb	气候变化	climate change	缓解	mitigate	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-002
<div style="font-size:24px;font-weight:700">快速的全球变暖</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">rapid global warming</div><div style="margin-top:10px"><b>Base</b>: 全球变暖 = global warming</div><div><b>Focus</b>: 快速的 = rapid</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	全球变暖	global warming	快速的	rapid	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-003
<div style="font-size:24px;font-weight:700">减缓全球变暖</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">slow global warming</div><div style="margin-top:10px"><b>Base</b>: 全球变暖 = global warming</div><div><b>Focus</b>: 减缓 = slow</div><div><b>Type</b>: verb</div>	Environment	环境	verb	全球变暖	global warming	减缓	slow	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-004
<div style="font-size:24px;font-weight:700">有害的温室气体</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">harmful greenhouse gases</div><div style="margin-top:10px"><b>Base</b>: 温室气体 = greenhouse gases</div><div><b>Focus</b>: 有害的 = harmful</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	温室气体	greenhouse gases	有害的	harmful	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-005
<div style="font-size:24px;font-weight:700">减少温室气体</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">reduce greenhouse gases</div><div style="margin-top:10px"><b>Base</b>: 温室气体 = greenhouse gases</div><div><b>Focus</b>: 减少 = reduce</div><div><b>Type</b>: verb</div>	Environment	环境	verb	温室气体	greenhouse gases	减少	reduce	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-006
<div style="font-size:24px;font-weight:700">严重的污染</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">severe pollution</div><div style="margin-top:10px"><b>Base</b>: 污染 = pollution</div><div><b>Focus</b>: 严重的 = severe</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	污染	pollution	严重的	severe	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-007
<div style="font-size:24px;font-weight:700">应对污染</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">tackle pollution</div><div style="margin-top:10px"><b>Base</b>: 污染 = pollution</div><div><b>Focus</b>: 应对 = tackle</div><div><b>Type</b>: verb</div>	Environment	环境	verb	污染	pollution	应对	tackle	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-008
<div style="font-size:24px;font-weight:700">巨大的碳足迹</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">large carbon footprint</div><div style="margin-top:10px"><b>Base</b>: 碳足迹 = carbon footprint</div><div><b>Focus</b>: 巨大的 = large</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	碳足迹	carbon footprint	巨大的	large	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-009
<div style="font-size:24px;font-weight:700">减少碳足迹</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">reduce carbon footprint</div><div style="margin-top:10px"><b>Base</b>: 碳足迹 = carbon footprint</div><div><b>Focus</b>: 减少 = reduce</div><div><b>Type</b>: verb</div>	Environment	环境	verb	碳足迹	carbon footprint	减少	reduce	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-010
<div style="font-size:24px;font-weight:700">沉重的生态足迹</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">heavy ecological footprint</div><div style="margin-top:10px"><b>Base</b>: 生态足迹 = ecological footprint</div><div><b>Focus</b>: 沉重的 = heavy</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	生态足迹	ecological footprint	沉重的	heavy	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-011
<div style="font-size:24px;font-weight:700">最小化生态足迹</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">minimize ecological footprint</div><div style="margin-top:10px"><b>Base</b>: 生态足迹 = ecological footprint</div><div><b>Focus</b>: 最小化 = minimize</div><div><b>Type</b>: verb</div>	Environment	环境	verb	生态足迹	ecological footprint	最小化	minimize	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-012
<div style="font-size:24px;font-weight:700">大规模的森林砍伐</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">large-scale deforestation</div><div style="margin-top:10px"><b>Base</b>: 森林砍伐 = deforestation</div><div><b>Focus</b>: 大规模的 = large-scale</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	森林砍伐	deforestation	大规模的	large-scale	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-013
<div style="font-size:24px;font-weight:700">遏制森林砍伐</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">curb deforestation</div><div style="margin-top:10px"><b>Base</b>: 森林砍伐 = deforestation</div><div><b>Focus</b>: 遏制 = curb</div><div><b>Type</b>: verb</div>	Environment	环境	verb	森林砍伐	deforestation	遏制	curb	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-014
<div style="font-size:24px;font-weight:700">严重的环境恶化</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">serious environmental degradation</div><div style="margin-top:10px"><b>Base</b>: 环境恶化 = environmental degradation</div><div><b>Focus</b>: 严重的 = serious</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	环境恶化	environmental degradation	严重的	serious	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-015
<div style="font-size:24px;font-weight:700">防止环境恶化</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">prevent environmental degradation</div><div style="margin-top:10px"><b>Base</b>: 环境恶化 = environmental degradation</div><div><b>Focus</b>: 防止 = prevent</div><div><b>Type</b>: verb</div>	Environment	环境	verb	环境恶化	environmental degradation	防止	prevent	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-016
<div style="font-size:24px;font-weight:700">家庭的回收</div><div style="margin-top:8px;color:#666">环境 / Environment · adjective</div>	<div style="font-size:22px;font-weight:700">household recycling</div><div style="margin-top:10px"><b>Base</b>: 回收 = recycling</div><div><b>Focus</b>: 家庭的 = household</div><div><b>Type</b>: adjective</div>	Environment	环境	adjective	回收	recycling	家庭的	household	IELTS_Task2 topic_collocation topic::Environment type::adjective	Environment-017
<div style="font-size:24px;font-weight:700">推广回收</div><div style="margin-top:8px;color:#666">环境 / Environment · verb</div>	<div style="font-size:22px;font-weight:700">promote recycling</div><div style="margin-top:10px"><b>Base</b>: 回收 = recycling</div><div><b>Focus</b>: 推广 = promote</div><div><b>Type</b>: verb</div>	Environment	环境	verb	回收	recycling	推广	promote	IELTS_Task2 topic_collocation topic::Environment type::verb	Environment-018
