#separator:tab
#html:true
#deck:IELTS Topic Collocation::政府 Government
#columns:Front Back Topic TopicZh Type BaseChinese BaseEnglish HighlightChinese HighlightEnglish Tags CardId
<div style="font-size:24px;font-weight:700">过度的政府干预</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">excessive government intervention</div><div style="margin-top:10px"><b>Base</b>: 政府干预 = government intervention</div><div><b>Focus</b>: 过度的 = excessive</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	政府干预	government intervention	过度的	excessive	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-001
<div style="font-size:24px;font-weight:700">减少政府干预</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">reduce government intervention</div><div style="margin-top:10px"><b>Base</b>: 政府干预 = government intervention</div><div><b>Focus</b>: 减少 = reduce</div><div><b>Type</b>: verb</div>	Government	政府	verb	政府干预	government intervention	减少	reduce	IELTS_Task2 topic_collocation topic::Government type::verb	Government-002
<div style="font-size:24px;font-weight:700">有针对性的市场导向手段</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">targeted market-oriented measures</div><div style="margin-top:10px"><b>Base</b>: 市场导向手段 = market-oriented measures</div><div><b>Focus</b>: 有针对性的 = targeted</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	市场导向手段	market-oriented measures	有针对性的	targeted	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-003
<div style="font-size:24px;font-weight:700">采用市场导向手段</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">adopt market-oriented measures</div><div style="margin-top:10px"><b>Base</b>: 市场导向手段 = market-oriented measures</div><div><b>Focus</b>: 采用 = adopt</div><div><b>Type</b>: verb</div>	Government	政府	verb	市场导向手段	market-oriented measures	采用	adopt	IELTS_Task2 topic_collocation topic::Government type::verb	Government-004
<div style="font-size:24px;font-weight:700">可及的高质量公共服务</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">accessible high-quality public services</div><div style="margin-top:10px"><b>Base</b>: 高质量公共服务 = high-quality public services</div><div><b>Focus</b>: 可及的 = accessible</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	高质量公共服务	high-quality public services	可及的	accessible	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-005
<div style="font-size:24px;font-weight:700">提供高质量公共服务</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">provide high-quality public services</div><div style="margin-top:10px"><b>Base</b>: 高质量公共服务 = high-quality public services</div><div><b>Focus</b>: 提供 = provide</div><div><b>Type</b>: verb</div>	Government	政府	verb	高质量公共服务	high-quality public services	提供	provide	IELTS_Task2 topic_collocation topic::Government type::verb	Government-006
<div style="font-size:24px;font-weight:700">基于证据的政策制定</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">evidence-based policy-making</div><div style="margin-top:10px"><b>Base</b>: 政策制定 = policy-making</div><div><b>Focus</b>: 基于证据的 = evidence-based</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	政策制定	policy-making	基于证据的	evidence-based	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-007
<div style="font-size:24px;font-weight:700">改善政策制定</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">improve policy-making</div><div style="margin-top:10px"><b>Base</b>: 政策制定 = policy-making</div><div><b>Focus</b>: 改善 = improve</div><div><b>Type</b>: verb</div>	Government	政府	verb	政策制定	policy-making	改善	improve	IELTS_Task2 topic_collocation topic::Government type::verb	Government-008
<div style="font-size:24px;font-weight:700">普通的纳税人</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">ordinary taxpayers</div><div style="margin-top:10px"><b>Base</b>: 纳税人 = taxpayers</div><div><b>Focus</b>: 普通的 = ordinary</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	纳税人	taxpayers	普通的	ordinary	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-009
<div style="font-size:24px;font-weight:700">保护纳税人</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">protect taxpayers</div><div style="margin-top:10px"><b>Base</b>: 纳税人 = taxpayers</div><div><b>Focus</b>: 保护 = protect</div><div><b>Type</b>: verb</div>	Government	政府	verb	纳税人	taxpayers	保护	protect	IELTS_Task2 topic_collocation topic::Government type::verb	Government-010
<div style="font-size:24px;font-weight:700">过度的政府支出</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">excessive government spending</div><div style="margin-top:10px"><b>Base</b>: 政府支出 = government spending</div><div><b>Focus</b>: 过度的 = excessive</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	政府支出	government spending	过度的	excessive	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-011
<div style="font-size:24px;font-weight:700">减少政府支出</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">reduce government spending</div><div style="margin-top:10px"><b>Base</b>: 政府支出 = government spending</div><div><b>Focus</b>: 减少 = reduce</div><div><b>Type</b>: verb</div>	Government	政府	verb	政府支出	government spending	减少	reduce	IELTS_Task2 topic_collocation topic::Government type::verb	Government-012
<div style="font-size:24px;font-weight:700">年度的国家预算</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">annual national budget</div><div style="margin-top:10px"><b>Base</b>: 国家预算 = national budget</div><div><b>Focus</b>: 年度的 = annual</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	国家预算	national budget	年度的	annual	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-013
<div style="font-size:24px;font-weight:700">批准国家预算</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">approve a national budget</div><div style="margin-top:10px"><b>Base</b>: 国家预算 = national budget</div><div><b>Focus</b>: 批准 = approve</div><div><b>Type</b>: verb</div>	Government	政府	verb	国家预算	national budget	批准	approve	IELTS_Task2 topic_collocation topic::Government type::verb	Government-014
<div style="font-size:24px;font-weight:700">更强的政府问责</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">greater government accountability</div><div style="margin-top:10px"><b>Base</b>: 政府问责 = government accountability</div><div><b>Focus</b>: 更强的 = greater</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	政府问责	government accountability	更强的	greater	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-015
<div style="font-size:24px;font-weight:700">加强政府问责</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">strengthen government accountability</div><div style="margin-top:10px"><b>Base</b>: 政府问责 = government accountability</div><div><b>Focus</b>: 加强 = strengthen</div><div><b>Type</b>: verb</div>	Government	政府	verb	政府问责	government accountability	加强	strengthen	IELTS_Task2 topic_collocation topic::Government type::verb	Government-016
<div style="font-size:24px;font-weight:700">强有力的法治</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">strong rule of law</div><div style="margin-top:10px"><b>Base</b>: 法治 = rule of law</div><div><b>Focus</b>: 强有力的 = strong</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	法治	rule of law	强有力的	strong	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-017
<div style="font-size:24px;font-weight:700">维护法治</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">uphold the rule of law</div><div style="margin-top:10px"><b>Base</b>: 法治 = rule of law</div><div><b>Focus</b>: 维护 = uphold</div><div><b>Type</b>: verb</div>	Government	政府	verb	法治	rule of law	维护	uphold	IELTS_Task2 topic_collocation topic::Government type::verb	Government-018
<div style="font-size:24px;font-weight:700">全面的立法</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">comprehensive legislation</div><div style="margin-top:10px"><b>Base</b>: 立法 = legislation</div><div><b>Focus</b>: 全面的 = comprehensive</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	立法	legislation	全面的	comprehensive	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-019
<div style="font-size:24px;font-weight:700">引入立法</div><div style="margin-top:8px;color:#666">政府 / Government · verb</div>	<div style="font-size:22px;font-weight:700">introduce legislation</div><div style="margin-top:10px"><b>Base</b>: 立法 = legislation</div><div><b>Focus</b>: 引入 = introduce</div><div><b>Type</b>: verb</div>	Government	政府	verb	立法	legislation	引入	introduce	IELTS_Task2 topic_collocation topic::Government type::verb	Government-020
<div style="font-size:24px;font-weight:700">拟议的法案</div><div style="margin-top:8px;color:#666">政府 / Government · adjective</div>	<div style="font-size:22px;font-weight:700">proposed bill</div><div style="margin-top:10px"><b>Base</b>: 法案 = bill</div><div><b>Focus</b>: 拟议的 = proposed</div><div><b>Type</b>: adjective</div>	Government	政府	adjective	法案	bill	拟议的	proposed	IELTS_Task2 topic_collocation topic::Government type::adjective	Government-021
